open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-12-14 04:00:00+00:00,90317.46,90381.89,90146.33,90341.68,0.07525,2025-12-14 04:59:59.999000+00:00,6790.6345367,31,0.02783,2515.1135819
2025-12-14 05:00:00+00:00,90334.51,90334.51,89975.04,90039.17,0.00483,2025-12-14 05:59:59.999000+00:00,435.7080669,12,0.00306,276.3843697
2025-12-14 06:00:00+00:00,90249.92,90363.39,90128.03,90128.03,0.01551,2025-12-14 06:59:59.999000+00:00,1400.119498,21,0.01517,1369.4759678
2025-12-14 07:00:00+00:00,90317.63,90351.23,90013.75,90066.24,0.0061,2025-12-14 07:59:59.999000+00:00,549.675845,13,0.00074,66.814343
2025-12-14 08:00:00+00:00,90343.44,90343.44,90101.58,90302.45,0.01372,2025-12-14 08:59:59.999000+00:00,1237.9390035,16,0.00726,655.8485042
2025-12-14 09:00:00+00:00,90266.33,90266.33,90017.36,90174.34,0.00384,2025-12-14 09:59:59.999000+00:00,346.560037,9,0.00366,330.3497042
2025-12-14 10:00:00+00:00,90158.21,90158.21,89830.59,89835.85,0.12,2025-12-14 10:59:59.999000+00:00,10796.253698,31,0.01631,1469.4702929
2025-12-14 11:00:00+00:00,89822.51,89944.28,88784.97,89487.74,0.43836,2025-12-14 11:59:59.999000+00:00,39153.1784778,132,0.03857,3445.9506397
2025-12-14 12:00:00+00:00,89423.63,89580.68,89239.15,89580.68,0.22673,2025-12-14 12:59:59.999000+00:00,20262.6254556,29,0.04868,4355.8922874
2025-12-14 13:00:00+00:00,89353.69,89532.92,89139.7,89530.5,3.14678,2025-12-14 13:59:59.999000+00:00,280855.2301119,66,0.03322,2968.2224
